主流免费 AI 编程 CLI 工具一览
工具名称 (CLI)	免费模式	可用免费模型/提供商
Qwen Code	内置免费额度	通过 Qwen OAuth 登录，每日可享 1,000 - 2,000 次免费请求，使用强大的 Qwen3-Coder 模型。
Gemini CLI	内置免费额度	使用个人 Google 账户登录，可获得 60 次/分钟、1,000 次/天 的免费额度，使用 Gemini 2.5 Pro 模型。
OpenCode	内置免费模型	内置一批无需注册和 API Key 的免费模型，如 GLM-5、MiniMax 等，安装后可直接使用。
BraveCode	内置免费模型	无需 API Key，默认使用 Codestral、DeepSeek-R1、Mistral Large 等免费模型。
Aider	支持免费 API / 本地模型	可通过 OpenRouter 使用免费模型（如 DeepSeek-R1），或连接本地 Ollama 运行 Qwen2.5-Coder 等模型。
ZypeCode	支持免费 API	集成了 Google Gemini、Groq、Mistral、Cohere、OpenRouter 等多个平台的免费 API 额度。
OmniDev	支持免费 API	通过 Groq 提供免费额度，速率限制为 30 次请求/分钟。
Goose	支持免费 API	支持 Groq 等提供免费额度的 LLM 提供商，也支持本地模型实现完全免费。
Nemo Code	集成免费模型	一个 Claude Code 的免费替代品，后端使用 NVIDIA NIM 托管的开源模型，如 Kimi K2、Qwen3 等。
K-CLI	本地模型	完全离线工作，配合 Ollama 使用，例如可拉取 qwen2.5-coder:7b 模型。
Free.ai Coder	内置免费额度	自带免费额度（50K tokens/天），使用 Qwen 7B 模型，也支持通过 OpenRouter 等提供商自带 Key (BYOK)。
AEX Code	集成免费模型	专为 OpenRouter 免费层设计，默认使用 qwen/qwen3-coder:free 模型。
Xela CLI	支持免费 API / 本地模型	支持 OpenRouter、Groq、Ollama 等多种免费或本地模型源。
